,filename,text,emotion,processed_text,AWL,ASL,NOW,NVB,NAJ,NPV,NST,CDV,NTP,TPR
23,Ses01F_impro01_F012,That's out of control.,ang,that s out of control .,3.0,6.0,6,1,0,0,1,6.0,0,0.0
24,Ses01F_impro01_M011,I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.,ang,i don t understand why this is so complicated for people when they get here . it s just a simple form . i just need an id .,3.2758620689655173,9.666666666666666,29,6,3,0,3,5.8,0,0.0
25,Ses01F_impro01_F013,How long have you been working here?,fru,how long have you been working here ?,3.75,8.0,8,3,0,0,1,4.0,0,0.0
26,Ses01F_impro01_M012,Actually too long.,xxx,actually too long .,4.0,4.0,4,0,1,0,1,4.0,0,0.0
27,Ses01F_impro01_F014,"Clearly.  You know, do you have like a supervisor or something?",neu,clearly . you know do you have like a supervisor or something ?,3.923076923076923,6.5,13,3,0,0,2,13.0,0,0.0
28,Ses01F_impro01_M013,Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.,ang,yeah . do you want to see my supervisor ? huh ? yeah . do you want to see my supervisor ? fine . i ll be right back .,2.933333333333333,4.285714285714286,30,8,2,0,7,7.5,1,0.03333333333333333
29,Ses01F_impro01_F015,That would - I would appreciate that.  Yeah.,fru,that would i would appreciate that . yeah .,3.888888888888889,4.5,9,2,0,0,2,9.0,0,0.0
30,Ses01F_impro02_F000,Did you get the mail? So you saw my letter?,sad,did you get the mail ? so you saw my letter ?,2.8333333333333335,6.0,12,3,0,0,2,6.0,0,0.0
31,Ses01F_impro02_M000,It's not fair.,xxx,it s not fair .,2.2,5.0,5,1,1,0,1,5.0,0,0.0
32,Ses01F_impro02_F001,Yeah.  I know.,sad,yeah . i know .,2.2,2.5,5,1,0,0,2,0.0,0,0.0
33,Ses01F_impro02_M001,"I don't understand.  You've already done so much, I don't know why do you have to go back.",sad,i don t understand . you ve already done so much i don t know why do you have to go back .,2.9565217391304346,11.5,23,8,3,0,2,11.5,0,0.0
34,Ses01F_impro02_F002,I don't know.  I put in that. request too. They didn't...,sad,i don t know . i put in that . request too . they didn t . . .,2.3157894736842106,4.75,19,5,2,0,4,9.5,0,0.0
35,Ses01F_impro02_F003,"I guess, you know, everybody has to make sacrifices.",neu,i guess you know everybody has to make sacrifices .,4.2,10.0,10,3,0,0,1,3.3333333333333335,0,0.0
36,Ses01F_impro02_M002,"I don't know, it's just not fair.  I think you've already made your sacrifice.",xxx,i don t know it s just not fair . i think you ve already made your sacrifice .,3.1578947368421053,9.5,19,6,3,0,2,6.333333333333333,0,0.0
37,Ses01F_impro02_F004,"There's people that have given more though, you know?",sad,there s people that have given more though you know ?,3.909090909090909,11.0,11,3,2,0,1,0.0,0,0.0
38,Ses01F_impro02_M003,I just don't see how they can make you leave when you have a new baby - we have a new kid.,fru,i just don t see how they can make you leave when you have a new baby we have a new kid .,2.9130434782608696,23.0,23,6,3,0,1,5.75,0,0.0
39,Ses01F_impro02_F005,I know.,sad,i know .,2.0,3.0,3,1,0,0,1,0.0,0,0.0
40,Ses01F_impro02_M004,Then why is that fair?  Why--,xxx,then why is that fair ? why ,3.0,3.5,7,1,1,0,2,7.0,0,0.0
41,Ses01F_impro02_F006,"There's babies over there, though, that need mothers.",neu,there s babies over there though that need mothers .,4.3,10.0,10,0,1,0,1,5.0,0,0.0
42,Ses01F_impro02_M005,I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it.,sad,i don t know how you can be okay with this ? i don t know why you re not you re fine with it .,2.6538461538461537,13.0,26,8,3,0,2,26.0,0,0.0
43,Ses01F_impro02_F007,"I'm not okay with it, but I don't-- it's not like I have a choice.  I don't see what crying about it is going to fix.",xxx,i m not okay with it but i don t it s not like i have a choice . i don t see what crying about it is going to fix .,2.625,16.0,32,11,3,0,2,10.666666666666666,0,0.0
44,Ses01F_impro02_M006,I'm just trying to think of another way.  I'm just trying to...,xxx,i m just trying to think of another way . i m just trying to . . .,2.7222222222222223,9.0,18,3,2,0,2,0.0,0,0.0
45,Ses01F_impro02_F008,"Just, you know, kicking myself.",sad,just you know kicking myself .,4.166666666666667,6.0,6,2,0,0,1,6.0,0,0.0
46,Ses01F_impro02_F009,like you sign up because you need money and,xxx,like you sign up because you need money and,3.888888888888889,9.0,9,2,0,0,1,4.5,0,0.0
47,Ses01F_impro02_F010,things just aren't what they seem.,sad,things just aren t what they seem .,3.5,8.0,8,2,0,0,1,8.0,0,0.0
48,Ses01F_impro02_M007,This is a stupid war.,xxx,this is a stupid war .,2.8333333333333335,6.0,6,1,1,0,1,6.0,0,0.0
49,Ses01F_impro02_F011,"We're doing the right thing, though.",xxx,we re doing the right thing though .,3.625,8.0,8,2,1,0,1,0.0,0,0.0
50,Ses01F_impro02_M008,I know.,fru,i know .,2.0,3.0,3,1,0,0,1,0.0,0,0.0
51,Ses01F_impro02_M009,I just don't see why it has to be you.,sad,i just don t see why it has to be you .,2.3333333333333335,12.0,12,3,1,0,1,0.0,0,0.0
52,Ses01F_impro02_F012,"If not me then, who?",sad,if not me then who ?,2.5,6.0,6,0,0,0,1,0.0,0,0.0
53,Ses01F_impro02_M010,What am I going to do? Huh?,sad,what am i going to do ? huh ?,2.3333333333333335,4.5,9,4,1,0,2,0.0,1,0.1111111111111111
54,Ses01F_impro02_F013,"You'll videotape everything, yeah?",sad,you ll videotape everything yeah ?,4.833333333333333,6.0,6,1,0,0,1,6.0,0,0.0
55,Ses01F_impro02_M011,Yeah.,sad,yeah .,2.5,2.0,2,0,0,0,1,0.0,0,0.0
56,Ses01F_impro02_F014,"Maybe you can send it to me, like stream it, yeah?",sad,maybe you can send it to me like stream it yeah ?,3.1666666666666665,12.0,12,2,0,0,1,6.0,0,0.0
57,Ses01F_impro02_M012,Don't you guys have access to computers over there.,neu,don t you guys have access to computers over there .,3.8181818181818183,11.0,11,2,0,0,1,3.6666666666666665,1,0.09090909090909091
58,Ses01F_impro02_F015,Last month--  Yeah.,sad,last month yeah .,3.5,4.0,4,0,1,0,1,4.0,0,0.0
59,Ses01F_impro02_M013,I just don't know how I'm going to do it without you.,sad,i just don t know how i m going to do it without you .,2.6666666666666665,15.0,15,5,1,0,1,0.0,0,0.0
60,Ses01F_impro02_F016,I have to find sitters.,neu,i have to find sitters .,3.1666666666666665,6.0,6,2,0,0,1,3.0,1,0.16666666666666666
61,Ses01F_impro02_M014,I can't raise a baby by myself.  How?,sad,i can t raise a baby by myself . how ?,2.5454545454545454,5.5,11,2,0,0,2,5.5,0,0.0
62,Ses01F_impro02_F017,"We've got friends, that's why we moved here, huh?  Because there is a day care down the street.",sad,we ve got friends that s why we moved here huh ? because there is a day care down the street .,3.3181818181818183,11.0,22,6,1,0,2,5.5,1,0.045454545454545456
63,Ses01F_impro02_M015,I know.,neu,i know .,2.0,3.0,3,1,0,0,1,0.0,0,0.0
64,Ses01F_impro02_F018,And your mother is close by.,neu,and your mother is close by .,3.2857142857142856,7.0,7,1,1,0,1,3.5,0,0.0
65,Ses01F_impro02_F019,I'll send you lots of letters.,sad,i ll send you lots of letters .,3.0,8.0,8,2,0,0,1,2.6666666666666665,0,0.0
66,Ses01F_impro02_F020,And I want lots and lots and lots of pictures.,sad,and i want lots and lots and lots of pictures .,3.3636363636363638,11.0,11,2,0,0,1,2.75,0,0.0
67,Ses01F_impro02_M016,It's just not fair.,fru,it s just not fair .,2.5,6.0,6,1,1,0,1,6.0,0,0.0
68,Ses01F_impro03_M000,So what's up?  What's new?,neu,so what s up ? what s new ?,2.111111111111111,4.5,9,2,1,0,2,0.0,0,0.0
69,Ses01F_impro03_F000,Well Vegas was awesome.,hap,well vegas was awesome .,4.0,5.0,5,1,1,0,1,2.5,1,0.2
70,Ses01F_impro03_M001,Yeah.  I heard.,neu,yeah . i heard .,2.4,2.5,5,0,1,0,2,5.0,0,0.0
71,Ses01F_impro03_F001,"And, um, I got married.",hap,and um i got married .,2.8333333333333335,6.0,6,2,1,1,1,6.0,1,0.16666666666666666
72,Ses01F_impro03_M002,Shut up.  No- in Vegas?,sur,shut up . no in vegas ?,2.4285714285714284,3.5,7,1,0,0,2,3.5,1,0.14285714285714285
73,Ses01F_impro03_F002,Yeah.  In the old town part.,hap,yeah . in the old town part .,2.75,4.0,8,0,1,0,2,4.0,0,0.0
74,Ses01F_impro03_M003,Who did you marry?,exc,who did you marry ?,3.0,5.0,5,2,0,0,1,5.0,0,0.0
75,Ses01F_impro03_F003,Chuck. [LAUGHTER],xxx,chuck . laughter ,4.666666666666667,1.5,3,0,0,0,2,1.5,0,0.0
76,Ses01F_impro03_M004,Did you propose to you?,xxx,did you propose to you ?,3.1666666666666665,6.0,6,2,0,0,1,6.0,0,0.0
77,Ses01F_impro03_F004,Um- Yes.  It was very romantic.,hap,um yes . it was very romantic .,3.0,4.0,8,1,2,0,2,8.0,1,0.125
78,Ses01F_impro03_F005,It was at the slot machines.,hap,it was at the slot machines .,3.2857142857142856,7.0,7,1,0,0,1,3.5,0,0.0
79,Ses01F_impro03_M005,Oh.  The Wheel of Fortune slots?,xxx,oh . the wheel of fortune slots ?,3.25,4.0,8,0,1,0,2,2.6666666666666665,1,0.125
80,Ses01F_impro03_F006,"Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride.",hap,uhuh uhuh . he won big and he and he realized that the only thing that would make it better was me as his bride .,3.3846153846153846,13.0,26,4,4,0,2,4.333333333333333,2,0.07692307692307693
81,Ses01F_impro03_M006,He turned to you and was like...,neu,he turned to you and was like . . .,2.6,10.0,10,2,0,0,1,10.0,0,0.0
82,Ses01F_impro03_F007,Hey.  Let's get married and I said okay.,xxx,hey . let s get married and i said okay .,2.8181818181818183,5.5,11,3,2,1,2,5.5,0,0.0
83,Ses01F_impro03_M007,[LAUGHTER] That's really romantic.,hap, laughter that s really romantic .,4.666666666666667,6.0,6,1,1,0,1,3.0,0,0.0
84,Ses01F_impro03_F008,"Yeah.  Well.  You know, because he's leaving the next day.",hap,yeah . well . you know because he s leaving the next day .,3.2142857142857144,4.666666666666667,14,3,1,0,3,7.0,0,0.0
85,Ses01F_impro03_M008,Yeah.,neu,yeah .,2.5,2.0,2,0,0,0,1,0.0,0,0.0
86,Ses01F_impro03_F009,But we're going to have a honeymoon cruise.,hap,but we re going to have a honeymoon cruise .,3.5,10.0,10,3,0,0,1,5.0,0,0.0
87,Ses01F_impro03_M009,"Does that mean that you're going to get citizenship, too, in- in England or whatever?",neu,does that mean that you re going to get citizenship too in in england or whatever ?,3.9411764705882355,17.0,17,6,0,0,1,8.5,0,0.0
88,Ses01F_impro03_F010,Oh.  I hadn't even thought about that.,hap,oh . i hadn t even thought about that .,3.0,5.0,10,2,1,0,2,0.0,0,0.0
89,Ses01F_impro03_M010,Yeah.  Think about that.,xxx,yeah . think about that .,3.3333333333333335,3.0,6,1,0,0,2,0.0,0,0.0
90,Ses01F_impro03_F011,"He's not going to be a citizen, though.",xxx,he s not going to be a citizen though .,3.0,10.0,10,3,1,0,1,10.0,0,0.0
91,Ses01F_impro03_M011,Yeah.  But he'll have like a long visa.  Can you go visit then for a long time?,neu,yeah . but he ll have like a long visa . can you go visit then for a long time ?,2.857142857142857,7.0,21,2,2,0,3,4.2,1,0.047619047619047616
92,Ses01F_impro03_F012,Oh.  Totally.,hap,oh . totally .,2.75,2.0,4,0,0,0,2,4.0,0,0.0
93,Ses01F_impro03_M012,"Oh, how are you going to do the long distance thing?  So wait, are you going to move there?",xxx,oh how are you going to do the long distance thing ? so wait are you going to move there ?,3.3333333333333335,10.5,21,6,2,0,2,5.25,0,0.0
94,Ses01F_impro03_F013,I guess I'll-  I guess I'll have an internet husband.[LAUGHTER],hap,i guess i ll i guess i ll have an internet husband . laughter ,3.4285714285714284,7.0,14,3,2,0,2,2.8,0,0.0
95,Ses01F_impro03_M013,Like you need another one of those.[LAUGHTER],hap,like you need another one of those . laughter ,4.111111111111111,4.5,9,1,0,0,2,9.0,0,0.0
96,Ses01F_impro03_F014,I have an internet boyfriend.  I guess I'll have to juggle the two.  Is that cheating?  I don't know. Hmm.,xxx,i have an internet boyfriend . i guess i ll have to juggle the two . is that cheating ? i don t know . hmm .,3.037037037037037,5.4,27,8,3,0,5,5.4,2,0.07407407407407407
97,Ses01F_impro03_M014,Is that your phone?,hap,is that your phone ?,3.2,5.0,5,1,0,0,1,5.0,0,0.0
98,Ses01F_impro03_F015,"Yeah, so [LAUGHTER] He's calling me now",exc,yeah so laughter he s calling me now,3.625,8.0,8,2,0,0,1,4.0,0,0.0
99,Ses01F_impro03_M015,He loves you.,hap,he loves you .,2.75,4.0,4,1,0,0,1,4.0,0,0.0
100,Ses01F_impro03_F016,"He likes to keep tabs, you know.",hap,he likes to keep tabs you know .,3.125,8.0,8,3,0,0,1,4.0,1,0.125
101,Ses01F_impro03_M016,How much did he win at the slot?,neu,how much did he win at the slot ?,2.7777777777777777,9.0,9,2,0,0,1,4.5,0,0.0
102,Ses01F_impro03_F017,"Uh, I think seven hundred and fifty dollars.",neu,uh i think seven hundred and fifty dollars .,4.0,9.0,9,1,1,0,1,2.25,1,0.1111111111111111
103,Ses01F_impro03_M017,Really? Penny slots?,sur,really ? penny slots ?,3.6,2.5,5,0,0,0,2,2.5,1,0.2
104,Ses01F_impro03_F018,Penny slots. That's what he plays.,neu,penny slots . that s what he plays .,3.111111111111111,4.5,9,2,1,0,2,3.0,1,0.1111111111111111
105,Ses01F_impro03_M018,Wow.,sur,wow .,2.0,2.0,2,0,0,0,1,2.0,1,0.5
106,Ses01F_impro03_F019,Yeah.,neu,yeah .,2.5,2.0,2,0,0,0,1,0.0,0,0.0
107,Ses01F_impro03_M019,I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know.,neu,i m a big fan of the wheel of fortune quarters . but it just costs so much . i don t know .,2.8333333333333335,8.0,24,4,3,0,3,4.8,0,0.0
108,Ses01F_impro03_F020,Oh.,xxx,oh .,1.5,2.0,2,0,0,0,1,0.0,0,0.0
109,Ses01F_impro03_F021,Yeah.  We played Wheel of Fortune pennies.  It's like a giant thing with like-,hap,yeah . we played wheel of fortune pennies . it s like a giant thing with like ,3.588235294117647,5.666666666666667,17,2,2,0,3,3.4,0,0.0
110,Ses01F_impro03_M020,"But the pennies always get you because you end up spending like, you know, fifty bucks.",neu,but the pennies always get you because you end up spending like you know fifty bucks .,4.117647058823529,17.0,17,3,1,0,1,4.25,0,0.0
111,Ses01F_impro03_F022,Fifty bucks. Mmhmm.,neu,fifty bucks . mmhmm .,3.4,2.5,5,0,1,0,2,1.6666666666666667,1,0.2
112,Ses01F_impro03_M021,"like, wait, but it's just pennies.  You're like, wait a minute I'm on to you.",neu,like wait but it s just pennies . you re like wait a minute i m on to you .,2.8,10.0,20,4,0,0,2,5.0,0,0.0
113,Ses01F_impro03_F023,Yeah.,neu,yeah .,2.5,2.0,2,0,0,0,1,0.0,0,0.0
114,Ses01F_impro03_F024,Well so now we're married. We have cat children.,hap,well so now we re married . we have cat children .,3.25,6.0,12,3,1,0,2,6.0,0,0.0
115,Ses01F_impro03_M022,Awesome.,exc,awesome .,4.0,2.0,2,0,0,0,1,2.0,0,0.0
116,Ses01F_impro03_M023,[LAUGHTER] Cat babies.,hap, laughter cat babies .,4.5,4.0,4,0,0,0,1,2.0,0,0.0
117,Ses01F_impro03_F025,"We renamed Brenda, Lumber Janet.",hap,we renamed brenda lumber janet .,4.5,6.0,6,1,2,0,1,1.5,1,0.16666666666666666
118,Ses01F_impro03_M024,That's fair enough.,neu,that s fair enough .,3.2,5.0,5,1,1,0,1,5.0,0,0.0
119,Ses01F_impro03_F026,She needs a new name each state that we go into. [LAUGHTER],hap,she needs a new name each state that we go into . laughter ,3.5384615384615383,6.5,13,2,1,0,2,6.5,0,0.0
120,Ses01F_impro04_M000,"Have you tried, uh, Craig's List?",neu,have you tried uh craig s list ?,3.125,8.0,8,2,1,0,1,2.6666666666666665,1,0.125
121,Ses01F_impro04_F000,"Uh, what?  Craig's List?  Oh the internet thing?",neu,uh what ? craig s list ? oh the internet thing ?,3.0833333333333335,4.0,12,1,3,0,3,3.0,1,0.08333333333333333
122,Ses01F_impro04_M001,Yeah.,neu,yeah .,2.5,2.0,2,0,0,0,1,0.0,0,0.0
123,Ses01F_impro04_F001,I don't know.  Isn't that-- that's all like escort services and things like that.,neu,i don t know . isn t that that s all like escort services and things like that .,3.263157894736842,9.5,19,4,1,0,2,6.333333333333333,0,0.0
124,Ses01F_impro04_M002,No.  There's regular jobs on there.,neu,no . there s regular jobs on there .,3.111111111111111,4.5,9,0,2,0,2,4.5,0,0.0
125,Ses01F_impro04_F002,"I don't know.  I mean I've been looking for so long that I just figured that--  I mean, I think things like Monster are a lot more reliable than just some random free board.",fru,i don t know . i mean i ve been looking for so long that i just figured that i mean i think things like monster are a lot more reliable than just some random free board .,3.5,19.0,38,10,9,0,2,4.222222222222222,0,0.0
126,Ses01F_impro04_M003,Uh huh.,neu,uh huh .,2.0,3.0,3,0,1,0,1,3.0,2,0.6666666666666666
127,Ses01F_impro04_M004,I'm just saying I have a friend that got a good job on it so I was just recommending it.,neu,i m just saying i have a friend that got a good job on it so i was just recommending it .,3.090909090909091,22.0,22,5,3,0,1,7.333333333333333,0,0.0
128,Ses01F_impro04_F003,What kind of a job?,xxx,what kind of a job ?,2.5,6.0,6,0,0,0,1,3.0,0,0.0
129,Ses01F_impro04_M005,He's like a manager for a theatre.,neu,he s like a manager for a theatre .,3.0,9.0,9,1,0,0,1,4.5,0,0.0
130,Ses01F_impro04_F004,Really?,xxx,really ?,3.5,2.0,2,0,0,0,1,0.0,0,0.0
131,Ses01F_impro04_M006,He's like a house manager. Yeah.  It's a good job.,neu,he s like a house manager . yeah . it s a good job .,2.533333333333333,5.0,15,2,1,0,3,5.0,0,0.0
132,Ses01F_impro04_F005,He just...,neu,he just . . .,1.8,5.0,5,0,0,0,1,0.0,0,0.0
133,Ses01F_impro04_F006,you know what?  I heard about that job.  I applied for that.,neu,you know what ? i heard about that job . i applied for that .,3.1333333333333333,5.0,15,3,1,0,3,5.0,0,0.0
134,Ses01F_impro04_M007,You did?,neu,you did ?,2.3333333333333335,3.0,3,1,0,0,1,0.0,0,0.0
135,Ses01F_impro04_F007,Yeah.  I saw a posting at the theatre.,fru,yeah . i saw a posting at the theatre .,3.0,5.0,10,1,0,0,2,5.0,0,0.0
136,Ses01F_impro04_M008,Yeah.,neu,yeah .,2.5,2.0,2,0,0,0,1,0.0,0,0.0
137,Ses01F_impro04_F008,He got it?,xxx,he got it ?,2.0,4.0,4,1,0,0,1,0.0,0,0.0
138,Ses01F_impro04_M009,You've been looking for a job for a long time; that was a long time ago.  Right?,neu,you ve been looking for a job for a long time that was a long time ago . right ?,3.05,10.0,20,4,2,0,2,3.3333333333333335,0,0.0
139,Ses01F_impro04_F009,Yeah.,neu,yeah .,2.5,2.0,2,0,0,0,1,0.0,0,0.0
140,Ses01F_impro04_M010,Hmm.,neu,hmm .,2.0,2.0,2,0,0,0,1,0.0,1,0.5
141,Ses01F_impro04_F010,What did he do?  What was so great?  I don't understand why they would pick him over me.,xxx,what did he do ? what was so great ? i don t understand why they would pick him over me .,3.090909090909091,7.333333333333333,22,6,3,0,3,7.333333333333333,0,0.0
142,Ses01F_impro04_M011,I don't know.  He had a really good resume I guess and--,neu,i don t know . he had a really good resume i guess and ,2.9285714285714284,7.0,14,2,2,0,2,7.0,0,0.0
143,Ses01F_impro04_F011,A resume?,xxx,a resume ?,2.6666666666666665,3.0,3,0,0,0,1,3.0,0,0.0
144,Ses01F_impro04_M012,Yeah.  Do you have a resume?,neu,yeah . do you have a resume ?,2.75,4.0,8,2,0,0,2,8.0,0,0.0
145,Ses01F_impro04_F012,No.,xxx,no .,1.5,2.0,2,0,0,0,1,0.0,0,0.0
146,Ses01F_impro04_M013,It's kind of helpful when getting a job.,neu,it s kind of helpful when getting a job .,3.2,10.0,10,2,0,0,1,3.3333333333333335,0,0.0
147,Ses01F_impro04_F013,I just- I mean I call people up and I tell them what I'm good at.,neu,i just i mean i call people up and i tell them what i m good at .,2.6666666666666665,18.0,18,4,3,0,1,18.0,0,0.0
148,Ses01F_impro04_M014,Well maybe we should sit down some time and you can just tell me all the stuff that you have done and I'll write it out.,neu,well maybe we should sit down some time and you can just tell me all the stuff that you have done and i ll write it out .,3.357142857142857,28.0,28,6,1,0,1,9.333333333333334,0,0.0
149,Ses01F_impro04_F014,Yeah.,neu,yeah .,2.5,2.0,2,0,0,0,1,0.0,0,0.0
150,Ses01F_impro04_F015,I don't like- I don't like sending things in the mail.  I don't want my information out there.,xxx,i don t like i don t like sending things in the mail . i don t want my information out there .,3.130434782608696,11.5,23,5,3,0,2,5.75,0,0.0
151,Ses01F_impro04_M015,"No.  You can- or you can just bring it in person.  But they need, generally, something to see, you know, what kind of what that you've done, what kind of--",neu,no . you can or you can just bring it in person . but they need generally something to see you know what kind of what that you ve done what kind of ,3.484848484848485,11.0,33,6,0,0,3,6.6,0,0.0
152,Ses01F_impro04_F016,I'm there in front of them.  I'm telling them what I'm good at.,fru,i m there in front of them . i m telling them what i m good at .,2.611111111111111,9.0,18,4,2,0,2,9.0,0,0.0
153,Ses01F_impro04_M016,"Yeah.  But the piece of paper helps, too.",neu,yeah . but the piece of paper helps too .,3.2,5.0,10,1,0,0,2,3.3333333333333335,0,0.0
154,Ses01F_impro04_F017,Why?  It's a piece of paper.,fru,why ? it s a piece of paper .,2.3333333333333335,4.5,9,1,0,0,2,4.5,0,0.0
155,Ses01F_impro04_M017,"No.  But it has an outline, you know.",neu,no . but it has an outline you know .,2.8,5.0,10,2,0,0,2,10.0,0,0.0
156,Ses01F_impro04_F018,"I just don't want this paper trail, you know.  I just don't want things following me around, like-.",fru,i just don t want this paper trail you know . i just don t want things following me around like .,3.4545454545454546,11.0,22,6,2,0,2,7.333333333333333,0,0.0
157,Ses01F_impro04_M018,"I know.  Okay.  Well, um. Maybe--",neu,i know . okay . well um . maybe ,2.5555555555555554,2.25,9,1,1,0,4,0.0,1,0.1111111111111111
158,Ses01F_impro04_F019,"It's just-- You know, I've had this problem before.  You're not the first person to tell me that I need a resume but...",fru,it s just you know i ve had this problem before . you re not the first person to tell me that i need a resume but . . .,3.0,15.0,30,7,2,0,2,10.0,0,0.0
159,Ses01F_impro04_M019,Yeah.,neu,yeah .,2.5,2.0,2,0,0,0,1,0.0,0,0.0
160,Ses01F_impro04_M020,"Okay, yeah.  I would imagine.",neu,okay yeah . i would imagine .,3.2857142857142856,3.5,7,1,1,0,2,7.0,0,0.0
161,Ses01F_impro04_F020,..I just-..I just think it's kind of prejudiced and they are really discriminating against people who just aren't that way.,xxx, . .i just . .i just think it s kind of prejudiced and they are really discriminating against people who just aren t that way .,3.8846153846153846,8.666666666666666,26,6,1,0,3,8.666666666666666,0,0.0
162,Ses01F_impro04_M021,"Well, sometimes you have to do things that you don't necessarily like to do to have a job. But the job affords you money, you won't have to be taking the bus right now.",neu,well sometimes you have to do things that you don t necessarily like to do to have a job . but the job affords you money you won t have to be taking the bus right now .,3.4473684210526314,19.0,38,9,1,0,2,4.75,0,0.0
163,Ses01F_impro04_F021,"That's baloney, that's baloney.",fru,that s baloney that s baloney .,3.5714285714285716,7.0,7,1,1,0,1,3.5,2,0.2857142857142857
164,Ses01F_impro04_F022,Please.,fru,please .,3.5,2.0,2,0,0,0,1,0.0,0,0.0
165,Ses01F_impro04_M022,maybe get a car.,neu,maybe get a car .,2.6,5.0,5,1,0,0,1,5.0,0,0.0
