filename,text,emotion,processed_text
Ses01F_impro01_F014,"Clearly.  You know, do you have like a supervisor or something?",neu,clearly . you know do you have like a supervisor or something ?
Ses01F_impro01_M013,Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.,ang,yeah . do you want to see my supervisor ? huh ? yeah . do you want to see my supervisor ? fine . i ll be right back .
Ses01F_impro01_F015,That would - I would appreciate that.  Yeah.,fru,that would i would appreciate that . yeah .
Ses01F_impro02_F000,Did you get the mail? So you saw my letter?,sad,did you get the mail ? so you saw my letter ?
Ses01F_impro02_M000,It's not fair.,xxx,it s not fair .
Ses01F_impro02_F001,Yeah.  I know.,sad,yeah . i know .
Ses01F_impro02_M001,"I don't understand.  You've already done so much, I don't know why do you have to go back.",sad,i don t understand . you ve already done so much i don t know why do you have to go back .
Ses01F_impro02_F002,I don't know.  I put in that. request too. They didn't...,sad,i don t know . i put in that . request too . they didn t . . .
Ses01F_impro02_F003,"I guess, you know, everybody has to make sacrifices.",neu,i guess you know everybody has to make sacrifices .
Ses01F_impro02_M002,"I don't know, it's just not fair.  I think you've already made your sacrifice.",xxx,i don t know it s just not fair . i think you ve already made your sacrifice .
Ses01F_impro02_F004,"There's people that have given more though, you know?",sad,there s people that have given more though you know ?
Ses01F_impro02_M003,I just don't see how they can make you leave when you have a new baby - we have a new kid.,fru,i just don t see how they can make you leave when you have a new baby we have a new kid .
Ses01F_impro02_F005,I know.,sad,i know .
Ses01F_impro02_M004,Then why is that fair?  Why--,xxx,then why is that fair ? why 
Ses01F_impro02_F006,"There's babies over there, though, that need mothers.",neu,there s babies over there though that need mothers .
Ses01F_impro02_M005,I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it.,sad,i don t know how you can be okay with this ? i don t know why you re not you re fine with it .
Ses01F_impro02_F007,"I'm not okay with it, but I don't-- it's not like I have a choice.  I don't see what crying about it is going to fix.",xxx,i m not okay with it but i don t it s not like i have a choice . i don t see what crying about it is going to fix .
Ses01F_impro02_M006,I'm just trying to think of another way.  I'm just trying to...,xxx,i m just trying to think of another way . i m just trying to . . .
Ses01F_impro02_F008,"Just, you know, kicking myself.",sad,just you know kicking myself .
Ses01F_impro02_F009,like you sign up because you need money and,xxx,like you sign up because you need money and
Ses01F_impro02_F010,things just aren't what they seem.,sad,things just aren t what they seem .
Ses01F_impro02_M007,This is a stupid war.,xxx,this is a stupid war .
Ses01F_impro02_F011,"We're doing the right thing, though.",xxx,we re doing the right thing though .
Ses01F_impro02_M008,I know.,fru,i know .
Ses01F_impro02_M009,I just don't see why it has to be you.,sad,i just don t see why it has to be you .
Ses01F_impro02_F012,"If not me then, who?",sad,if not me then who ?
Ses01F_impro02_M010,What am I going to do? Huh?,sad,what am i going to do ? huh ?
Ses01F_impro02_F013,"You'll videotape everything, yeah?",sad,you ll videotape everything yeah ?
Ses01F_impro02_M011,Yeah.,sad,yeah .
Ses01F_impro02_F014,"Maybe you can send it to me, like stream it, yeah?",sad,maybe you can send it to me like stream it yeah ?
Ses01F_impro02_M012,Don't you guys have access to computers over there.,neu,don t you guys have access to computers over there .
Ses01F_impro02_F015,Last month--  Yeah.,sad,last month yeah .
Ses01F_impro02_M013,I just don't know how I'm going to do it without you.,sad,i just don t know how i m going to do it without you .
Ses01F_impro02_F016,I have to find sitters.,neu,i have to find sitters .
Ses01F_impro02_M014,I can't raise a baby by myself.  How?,sad,i can t raise a baby by myself . how ?
Ses01F_impro02_F017,"We've got friends, that's why we moved here, huh?  Because there is a day care down the street.",sad,we ve got friends that s why we moved here huh ? because there is a day care down the street .
Ses01F_impro02_M015,I know.,neu,i know .
Ses01F_impro02_F018,And your mother is close by.,neu,and your mother is close by .
Ses01F_impro02_F019,I'll send you lots of letters.,sad,i ll send you lots of letters .
Ses01F_impro02_F020,And I want lots and lots and lots of pictures.,sad,and i want lots and lots and lots of pictures .
Ses01F_impro02_M016,It's just not fair.,fru,it s just not fair .
Ses01F_impro03_M000,So what's up?  What's new?,neu,so what s up ? what s new ?
Ses01F_impro03_F000,Well Vegas was awesome.,hap,well vegas was awesome .
Ses01F_impro03_M001,Yeah.  I heard.,neu,yeah . i heard .
Ses01F_impro03_F001,"And, um, I got married.",hap,and um i got married .
Ses01F_impro03_M002,Shut up.  No- in Vegas?,sur,shut up . no in vegas ?
Ses01F_impro03_F002,Yeah.  In the old town part.,hap,yeah . in the old town part .
Ses01F_impro03_M003,Who did you marry?,exc,who did you marry ?
Ses01F_impro03_F003,Chuck. [LAUGHTER],xxx,chuck . laughter 
Ses01F_impro03_M004,Did you propose to you?,xxx,did you propose to you ?
Ses01F_impro03_F004,Um- Yes.  It was very romantic.,hap,um yes . it was very romantic .
Ses01F_impro03_F005,It was at the slot machines.,hap,it was at the slot machines .
Ses01F_impro03_M005,Oh.  The Wheel of Fortune slots?,xxx,oh . the wheel of fortune slots ?
Ses01F_impro03_F006,"Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride.",hap,uhuh uhuh . he won big and he and he realized that the only thing that would make it better was me as his bride .
Ses01F_impro03_M006,He turned to you and was like...,neu,he turned to you and was like . . .
Ses01F_impro03_F007,Hey.  Let's get married and I said okay.,xxx,hey . let s get married and i said okay .
Ses01F_impro03_M007,[LAUGHTER] That's really romantic.,hap, laughter that s really romantic .
Ses01F_impro03_F008,"Yeah.  Well.  You know, because he's leaving the next day.",hap,yeah . well . you know because he s leaving the next day .
Ses01F_impro03_M008,Yeah.,neu,yeah .
Ses01F_impro03_F009,But we're going to have a honeymoon cruise.,hap,but we re going to have a honeymoon cruise .
Ses01F_impro03_M009,"Does that mean that you're going to get citizenship, too, in- in England or whatever?",neu,does that mean that you re going to get citizenship too in in england or whatever ?
Ses01F_impro03_F010,Oh.  I hadn't even thought about that.,hap,oh . i hadn t even thought about that .
Ses01F_impro03_M010,Yeah.  Think about that.,xxx,yeah . think about that .
Ses01F_impro03_F011,"He's not going to be a citizen, though.",xxx,he s not going to be a citizen though .
Ses01F_impro03_M011,Yeah.  But he'll have like a long visa.  Can you go visit then for a long time?,neu,yeah . but he ll have like a long visa . can you go visit then for a long time ?
Ses01F_impro03_F012,Oh.  Totally.,hap,oh . totally .
Ses01F_impro03_M012,"Oh, how are you going to do the long distance thing?  So wait, are you going to move there?",xxx,oh how are you going to do the long distance thing ? so wait are you going to move there ?
Ses01F_impro03_F013,I guess I'll-  I guess I'll have an internet husband.[LAUGHTER],hap,i guess i ll i guess i ll have an internet husband . laughter 
Ses01F_impro03_M013,Like you need another one of those.[LAUGHTER],hap,like you need another one of those . laughter 
Ses01F_impro03_F014,I have an internet boyfriend.  I guess I'll have to juggle the two.  Is that cheating?  I don't know. Hmm.,xxx,i have an internet boyfriend . i guess i ll have to juggle the two . is that cheating ? i don t know . hmm .
Ses01F_impro03_M014,Is that your phone?,hap,is that your phone ?
Ses01F_impro03_F015,"Yeah, so [LAUGHTER] He's calling me now",exc,yeah so laughter he s calling me now
Ses01F_impro03_M015,He loves you.,hap,he loves you .
Ses01F_impro03_F016,"He likes to keep tabs, you know.",hap,he likes to keep tabs you know .
Ses01F_impro03_M016,How much did he win at the slot?,neu,how much did he win at the slot ?
Ses01F_impro03_F017,"Uh, I think seven hundred and fifty dollars.",neu,uh i think seven hundred and fifty dollars .
Ses01F_impro03_M017,Really? Penny slots?,sur,really ? penny slots ?
Ses01F_impro03_F018,Penny slots. That's what he plays.,neu,penny slots . that s what he plays .
Ses01F_impro03_M018,Wow.,sur,wow .
Ses01F_impro03_F019,Yeah.,neu,yeah .
Ses01F_impro03_M019,I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know.,neu,i m a big fan of the wheel of fortune quarters . but it just costs so much . i don t know .
Ses01F_impro03_F020,Oh.,xxx,oh .
Ses01F_impro03_F021,Yeah.  We played Wheel of Fortune pennies.  It's like a giant thing with like-,hap,yeah . we played wheel of fortune pennies . it s like a giant thing with like 
Ses01F_impro03_M020,"But the pennies always get you because you end up spending like, you know, fifty bucks.",neu,but the pennies always get you because you end up spending like you know fifty bucks .
Ses01F_impro03_F022,Fifty bucks. Mmhmm.,neu,fifty bucks . mmhmm .
Ses01F_impro03_M021,"like, wait, but it's just pennies.  You're like, wait a minute I'm on to you.",neu,like wait but it s just pennies . you re like wait a minute i m on to you .
Ses01F_impro03_F023,Yeah.,neu,yeah .
Ses01F_impro03_F024,Well so now we're married. We have cat children.,hap,well so now we re married . we have cat children .
Ses01F_impro03_M022,Awesome.,exc,awesome .
Ses01F_impro03_M023,[LAUGHTER] Cat babies.,hap, laughter cat babies .
Ses01F_impro03_F025,"We renamed Brenda, Lumber Janet.",hap,we renamed brenda lumber janet .
Ses01F_impro03_M024,That's fair enough.,neu,that s fair enough .
Ses01F_impro03_F026,She needs a new name each state that we go into. [LAUGHTER],hap,she needs a new name each state that we go into . laughter 
Ses01F_impro04_M000,"Have you tried, uh, Craig's List?",neu,have you tried uh craig s list ?
Ses01F_impro04_F000,"Uh, what?  Craig's List?  Oh the internet thing?",neu,uh what ? craig s list ? oh the internet thing ?
Ses01F_impro04_M001,Yeah.,neu,yeah .
Ses01F_impro04_F001,I don't know.  Isn't that-- that's all like escort services and things like that.,neu,i don t know . isn t that that s all like escort services and things like that .
Ses01F_impro04_M002,No.  There's regular jobs on there.,neu,no . there s regular jobs on there .
Ses01F_impro04_F002,"I don't know.  I mean I've been looking for so long that I just figured that--  I mean, I think things like Monster are a lot more reliable than just some random free board.",fru,i don t know . i mean i ve been looking for so long that i just figured that i mean i think things like monster are a lot more reliable than just some random free board .
Ses01F_impro04_M003,Uh huh.,neu,uh huh .
Ses01F_impro04_M004,I'm just saying I have a friend that got a good job on it so I was just recommending it.,neu,i m just saying i have a friend that got a good job on it so i was just recommending it .
Ses01F_impro04_F003,What kind of a job?,xxx,what kind of a job ?
Ses01F_impro04_M005,He's like a manager for a theatre.,neu,he s like a manager for a theatre .
Ses01F_impro04_F004,Really?,xxx,really ?
Ses01F_impro04_M006,He's like a house manager. Yeah.  It's a good job.,neu,he s like a house manager . yeah . it s a good job .
Ses01F_impro04_F005,He just...,neu,he just . . .
Ses01F_impro04_F006,you know what?  I heard about that job.  I applied for that.,neu,you know what ? i heard about that job . i applied for that .
Ses01F_impro04_M007,You did?,neu,you did ?
Ses01F_impro04_F007,Yeah.  I saw a posting at the theatre.,fru,yeah . i saw a posting at the theatre .
Ses01F_impro04_M008,Yeah.,neu,yeah .
Ses01F_impro04_F008,He got it?,xxx,he got it ?
Ses01F_impro04_M009,You've been looking for a job for a long time; that was a long time ago.  Right?,neu,you ve been looking for a job for a long time that was a long time ago . right ?
Ses01F_impro04_F009,Yeah.,neu,yeah .
Ses01F_impro04_M010,Hmm.,neu,hmm .
Ses01F_impro04_F010,What did he do?  What was so great?  I don't understand why they would pick him over me.,xxx,what did he do ? what was so great ? i don t understand why they would pick him over me .
Ses01F_impro04_M011,I don't know.  He had a really good resume I guess and--,neu,i don t know . he had a really good resume i guess and 
Ses01F_impro04_F011,A resume?,xxx,a resume ?
Ses01F_impro04_M012,Yeah.  Do you have a resume?,neu,yeah . do you have a resume ?
Ses01F_impro04_F012,No.,xxx,no .
Ses01F_impro04_M013,It's kind of helpful when getting a job.,neu,it s kind of helpful when getting a job .
Ses01F_impro04_F013,I just- I mean I call people up and I tell them what I'm good at.,neu,i just i mean i call people up and i tell them what i m good at .
Ses01F_impro04_M014,Well maybe we should sit down some time and you can just tell me all the stuff that you have done and I'll write it out.,neu,well maybe we should sit down some time and you can just tell me all the stuff that you have done and i ll write it out .
Ses01F_impro04_F014,Yeah.,neu,yeah .
Ses01F_impro04_F015,I don't like- I don't like sending things in the mail.  I don't want my information out there.,xxx,i don t like i don t like sending things in the mail . i don t want my information out there .
Ses01F_impro04_M015,"No.  You can- or you can just bring it in person.  But they need, generally, something to see, you know, what kind of what that you've done, what kind of--",neu,no . you can or you can just bring it in person . but they need generally something to see you know what kind of what that you ve done what kind of 
Ses01F_impro04_F016,I'm there in front of them.  I'm telling them what I'm good at.,fru,i m there in front of them . i m telling them what i m good at .
Ses01F_impro04_M016,"Yeah.  But the piece of paper helps, too.",neu,yeah . but the piece of paper helps too .
Ses01F_impro04_F017,Why?  It's a piece of paper.,fru,why ? it s a piece of paper .
Ses01F_impro04_M017,"No.  But it has an outline, you know.",neu,no . but it has an outline you know .
Ses01F_impro04_F018,"I just don't want this paper trail, you know.  I just don't want things following me around, like-.",fru,i just don t want this paper trail you know . i just don t want things following me around like .
Ses01F_impro04_M018,"I know.  Okay.  Well, um. Maybe--",neu,i know . okay . well um . maybe 
Ses01F_impro04_F019,"It's just-- You know, I've had this problem before.  You're not the first person to tell me that I need a resume but...",fru,it s just you know i ve had this problem before . you re not the first person to tell me that i need a resume but . . .
Ses01F_impro04_M019,Yeah.,neu,yeah .
Ses01F_impro04_M020,"Okay, yeah.  I would imagine.",neu,okay yeah . i would imagine .
Ses01F_impro04_F020,..I just-..I just think it's kind of prejudiced and they are really discriminating against people who just aren't that way.,xxx, . .i just . .i just think it s kind of prejudiced and they are really discriminating against people who just aren t that way .
Ses01F_impro04_M021,"Well, sometimes you have to do things that you don't necessarily like to do to have a job. But the job affords you money, you won't have to be taking the bus right now.",neu,well sometimes you have to do things that you don t necessarily like to do to have a job . but the job affords you money you won t have to be taking the bus right now .
Ses01F_impro04_F021,"That's baloney, that's baloney.",fru,that s baloney that s baloney .
Ses01F_impro04_F022,Please.,fru,please .
Ses01F_impro04_M022,maybe get a car.,neu,maybe get a car .
Ses01F_impro04_M023,"I just, you know, think you should try a little harder maybe.",neu,i just you know think you should try a little harder maybe .
Ses01F_impro04_F023,you think that you're better than me because I don't have a car?,fru,you think that you re better than me because i don t have a car ?
Ses01F_impro04_M024,I didn't say that.,neu,i didn t say that .
Ses01F_impro04_F024,"You know, you're riding the bus, too.",fru,you know you re riding the bus too .
Ses01F_impro04_M025,"I am riding the bus, but by choice.",neu,i am riding the bus but by choice .
Ses01F_impro04_F025,Why?  What choice?,fru,why ? what choice ?
Ses01F_impro04_M026,"To save the environment, carpool.",neu,to save the environment carpool .
Ses01F_impro04_F026,You're saving the environment. mmhmm,fru,you re saving the environment . mmhmm
Ses01F_impro04_M027,Yes.  One less car at a time.,neu,yes . one less car at a time .
Ses01F_impro04_F027,Interesting.  That's fantastic.,fru,interesting . that s fantastic .
Ses01F_impro04_M028,Mmhmm.,neu,mmhmm .
Ses01F_impro04_M029,"You know, you don't have to take out your frustration on me, you know, just because...",fru,you know you don t have to take out your frustration on me you know just because . . .
Ses01F_impro04_F028,I'm not frustrated.,ang,i m not frustrated .
Ses01F_impro04_M030,...you can't get a job and refuse to have a resume.,fru, . . .you can t get a job and refuse to have a resume .
Ses01F_impro04_F029,Who do you think you are?,ang,who do you think you are ?
Ses01F_impro04_M031,I don't think I'm anyone.,neu,i don t think i m anyone .
Ses01F_impro04_F030,You are so high and mighty.  I just--,ang,you are so high and mighty . i just 
Ses01F_impro04_M032,I- I-I didn't-- okay.,neu,i i i didn t okay .
Ses01F_impro04_F031,Oh.  I'm saving the environment. I'm riding this car because I- I want to.,ang,oh . i m saving the environment . i m riding this car because i i want to .
Ses01F_impro04_M033,What?  No.,xxx,what ? no .
Ses01F_impro04_M034,What? Oh.  So now you're...,fru,what ? oh . so now you re . . .
Ses01F_impro04_F032,"The bus, I'm riding the bus because I want to.",ang,the bus i m riding the bus because i want to .
Ses01F_impro04_M035,you know what?  You don't have to take your anger and your hurt out on me.,fru,you know what ? you don t have to take your anger and your hurt out on me .
Ses01F_impro04_F033,I can not-- you are not here by choice.  Nobody would ride this bus by choice.,ang,i can not you are not here by choice . nobody would ride this bus by choice .
Ses01F_impro04_M036,Why not?,xxx,why not ?
Ses01F_impro05_F000,Hi.,fru,hi .
Ses01F_impro05_M000,Hi.  Thanks for waiting.,neu,hi . thanks for waiting .
Ses01F_impro05_F001,Yeah. This is the fourth line that I have been in.,fru,yeah . this is the fourth line that i have been in .
Ses01F_impro05_M001,Can I help you?,hap,can i help you ?
Ses01F_impro05_M002,Uh huh.,hap,uh huh .
Ses01F_impro05_F002,I need my bag.,fru,i need my bag .
Ses01F_impro05_M003,Okay.,neu,okay .
Ses01F_impro05_F003,"I flew in over three hours ago, I've been in four different lines.",fru,i flew in over three hours ago i ve been in four different lines .
Ses01F_impro05_M004,Okay.,neu,okay .
Ses01F_impro05_F004,I waited the entire baggage- I waited for the whole baggage carousel four times.  They told me to go to the next one.  I waited through that for three planes and now I'm here.,fru,i waited the entire baggage i waited for the whole baggage carousel four times . they told me to go to the next one . i waited through that for three planes and now i m here .
Ses01F_impro05_M005,Okay.  Great.  I'm really sorry that you had to do that.  What's your last name?  Let's start there.,neu,okay . great . i m really sorry that you had to do that . what s your last name ? let s start there .
Ses01F_impro05_F005,Nash.,fru,nash .
Ses01F_impro05_M006,Okay.,neu,okay .
Ses01F_impro05_F006,No G.,xxx,no g .
Ses01F_impro05_M007,all right- okay.  And you lost your bag? Is that- that the issue?,neu,all right okay . and you lost your bag ? is that that the issue ?
Ses01F_impro05_F007,Yes.,fru,yes .
Ses01F_impro05_F008,Flight seven fourteen.,ang,flight seven fourteen .
Ses01F_impro05_M008,Uh-huh.,neu,uh huh .
Ses01F_impro05_F009,"Am I going to be getting, like, free tickets, free mileage. When can I expect my bag here?",ang,am i going to be getting like free tickets free mileage . when can i expect my bag here ?
Ses01F_impro05_M009,"Yeah. Yeah, I don't see- I don't see any--",neu,yeah . yeah i don t see i don t see any 
Ses01F_impro05_M010,"I don't see any record of it, and I-usually when I don't see a record of it, that means um-",neu,i don t see any record of it and i usually when i don t see a record of it that means um 
Ses01F_impro05_M011,"we've mistakenly lost your baggage.  We're very sorry.  On behalf of Jet Blue I would like to apologize for any inconvenience.  I am allowed to issue you a fifty dollar gift card which you can use any future flights you want to take with us.  I'm very sorry, once again...",neu,we ve mistakenly lost your baggage . we re very sorry . on behalf of jet blue i would like to apologize for any inconvenience . i am allowed to issue you a fifty dollar gift card which you can use any future flights you want to take with us . i m very sorry once again . . .
Ses01F_impro05_F010,"Oh, Are you kidding me?",xxx,oh are you kidding me ?
Ses01F_impro05_M012,"for such an inconvenience and your bag, but",neu,for such an inconvenience and your bag but
Ses01F_impro05_F011,Is this a joke?,ang,is this a joke ?
Ses01F_impro05_M013,Yeah.,neu,yeah .
Ses01F_impro05_M014,"No, no.",neu,no no .
Ses01F_impro05_F012,"Are there candid cameras?  Is this that movie? There's that show, right?  Airplane, airline.",ang,are there candid cameras ? is this that movie ? there s that show right ? airplane airline .
Ses01F_impro05_M015,"No, no.  This is real.",neu,no no . this is real .
Ses01F_impro05_F013,So you'll give me money and then I'll get my bag?,xxx,so you ll give me money and then i ll get my bag ?
Ses01F_impro05_M016,"No.  I'm just giving you money, the bag is gone.  If it's not here, I'm really sorry there is nothing I can do because...",neu,no . i m just giving you money the bag is gone . if it s not here i m really sorry there is nothing i can do because . . .
Ses01F_impro05_M017,this is the only track record that we have and if it's not listed here then it's probably not anywhere.,neu,this is the only track record that we have and if it s not listed here then it s probably not anywhere .
Ses01F_impro05_F014,"You're kidding me, this is a joke.",ang,you re kidding me this is a joke .
Ses01F_impro05_M018,"Once again, I'm really- I'm really sorry.",xxx,once again i m really i m really sorry .
Ses01F_impro05_F015,Do you have any idea-- fifty dollars?  That's supposed to replace everything that I have?  Do you understand how much I have packed in there? Not only does it have sentimental value; it can't be replaced like that.  It was incredibly expensive.,ang,do you have any idea fifty dollars ? that s supposed to replace everything that i have ? do you understand how much i have packed in there ? not only does it have sentimental value it can t be replaced like that . it was incredibly expensive .
Ses01F_impro05_M019,Yes.,neu,yes .
Ses01F_impro05_M020,I know.,neu,i know .
Ses01F_impro05_F016,We flew in from Paris.  I've been shopping for three weeks.,ang,we flew in from paris . i ve been shopping for three weeks .
Ses01F_impro05_M021,"I'm very sorry.  But if you see the sign that's right behind me here, it spells it out really clearly that we are not held liable--",xxx,i m very sorry . but if you see the sign that s right behind me here it spells it out really clearly that we are not held liable 
Ses01F_impro05_F017,I don't care what you're freaking sign says.  Somebody- Somebody needs to replace everything I've got there and give me money for my inconvenience.,ang,i don t care what you re freaking sign says . somebody somebody needs to replace everything i ve got there and give me money for my inconvenience .
Ses01F_impro05_M022,Okay. Calm-,neu,okay . calm 
Ses01F_impro05_M023,"Actually, we are not necessarily liable to give you- to even give you this fifty dollars so... it's actually- it's actually really",neu,actually we are not necessarily liable to give you to even give you this fifty dollars so . . . it s actually it s actually really
Ses01F_impro05_F018,Do you understand who my husband is?,ang,do you understand who my husband is ?
Ses01F_impro05_F019,"If you're- if you're- if you're looking for a lawsuit, baby, you've found it.",ang,if you re if you re if you re looking for a lawsuit baby you ve found it .
Ses01F_impro05_M024,"We are actually not even allowed--  you know, like we don't have to give you this fifty dollars.  We don't have to do that.",neu,we are actually not even allowed you know like we don t have to give you this fifty dollars . we don t have to do that .
Ses01F_impro05_F020,Oh-Oh.  It's a gift.  You're-You're helping me out here?,ang,oh oh . it s a gift . you re you re helping me out here ?
Ses01F_impro05_M025,It's a gift.,neu,it s a gift .
Ses01F_impro05_M026,"You know, the airlines can not be held responsible for every bag of luggage that comes through here.",neu,you know the airlines can not be held responsible for every bag of luggage that comes through here .
Ses01F_impro05_F021,You are cruising for a bruising.  You are in so much trouble.,ang,you are cruising for a bruising . you are in so much trouble .
Ses01F_impro05_M027,With the amount of--,neu,with the amount of 
Ses01F_impro05_F022,Who's in charge?  Who is the president of Jet Blue?,ang,who s in charge ? who is the president of jet blue ?
Ses01F_impro05_M028,"Um, actually, I don't know. I don't know. Oh really?",neu,um actually i don t know . i don t know . oh really ?
Ses01F_impro05_F023,Because I probably know him.,ang,because i probably know him .
Ses01F_impro05_F024,Yeah.,ang,yeah .
Ses01F_impro05_M029,Well then maybe you can just call him and he can give you more money.  But right now all I can do--,neu,well then maybe you can just call him and he can give you more money . but right now all i can do 
Ses01F_impro05_F025,"I don't want money, I want my clothes.",ang,i don t want money i want my clothes .
Ses01F_impro05_M030,"Right now all I can do is just give you this fifty dollars, I'm really sorry.",neu,right now all i can do is just give you this fifty dollars i m really sorry .
Ses01F_impro05_F026,What's your name?,ang,what s your name ?
Ses01F_impro05_M031,Oh.  My name is Sean. Hi.,neu,oh . my name is sean . hi .
Ses01F_impro05_F027,Sean.  Great. Do you have a badge number or something?,xxx,sean . great . do you have a badge number or something ?
Ses01F_impro05_M032,"Badge number?  Uh, no.  You can just take my employee number I guess.",sur,badge number ? uh no . you can just take my employee number i guess .
Ses01F_impro05_F028,Okay.  I'll do that.,ang,okay . i ll do that .
Ses01F_impro05_M033,Why?  Have I done something wrong?  Have I given you bad service?  I feel like I have done the best I could.,sur,why ? have i done something wrong ? have i given you bad service ? i feel like i have done the best i could .
Ses01F_impro05_F029,I don't think you have done everything you could do because I don't have my bag here yet.,ang,i don t think you have done everything you could do because i don t have my bag here yet .
Ses01F_impro05_M034,"If you want, you can write a letter.  I can give you the address. Yes.  An angry--",neu,if you want you can write a letter . i can give you the address . yes . an angry 
Ses01F_impro05_F030,A letter? I'll make a personal phone call.,ang,a letter ? i ll make a personal phone call .
Ses01F_impro05_M035,"Or you can make a phone call.  But I think a letter might be a little more-- in my impression, letters have more...",neu,or you can make a phone call . but i think a letter might be a little more in my impression letters have more . . .
Ses01F_impro06_M000,"I'm sorry, Joy.",sad,i m sorry joy .
Ses01F_impro06_F000,It's okay.,xxx,it s okay .
Ses01F_impro06_M001,Is there anything I can get you?  Do you want me to take care of anything for you or...?,neu,is there anything i can get you ? do you want me to take care of anything for you or . . . ?
Ses01F_impro06_F001,"No, no, no.",xxx,no no no .
Ses01F_impro06_M002,...pick up anything?,neu, . . .pick up anything ?
Ses01F_impro06_F002,No.,sad,no .
Ses01F_impro06_M003,You know you are welcome to stay at my house if you want to just check out for a couple days and hang out.,sad,you know you are welcome to stay at my house if you want to just check out for a couple days and hang out .
Ses01F_impro06_F003,That's sweet.,neu,that s sweet .
Ses01F_impro06_F004,Thank you.,neu,thank you .
Ses01F_impro06_F005,I went to see her headstone a week or two ago.,sad,i went to see her headstone a week or two ago .
Ses01F_impro06_F006,"I used to go to cemeteries a lot before she died.  I just, you know, I felt like they were urban oasis, you know, there is always this green in the city.",sad,i used to go to cemeteries a lot before she died . i just you know i felt like they were urban oasis you know there is always this green in the city .
Ses01F_impro06_M004,Hmm.,neu,hmm .
Ses01F_impro06_F007,So I was like wandering around before.  It takes forever to find her headstone; I always lose it. You know.,sad,so i was like wandering around before . it takes forever to find her headstone i always lose it . you know .
Ses01F_impro06_F008,So I was looking at this other one and there was like a piece of candy there and I thought that I would take the candy and put it on her headstone.  And-,sad,so i was looking at this other one and there was like a piece of candy there and i thought that i would take the candy and put it on her headstone . and 
Ses01F_impro07_M000,Did you get the letter?,exc,did you get the letter ?
